,Date,Tickers,Currency,Amount,Amount_euro
0,2014-12-19,ENG,EUR,26.0,26.0
1,2014-12-23,BME,EUR,9.0,9.0
2,2015-03-19,IQQA,EUR,2.53,2.5
3,2015-05-08,BME,EUR,40.05,40.0
4,2015-05-12,TEF,EUR,120.0,120.0
5,2015-05-12,TEF,EUR,-120.0,-120.0
6,2015-05-12,TEF,EUR,119.2,119.2
7,2015-05-12,TEF,EUR,0.8,0.8
8,2015-05-12,TEF,EUR,-119.2,-119.2
9,2015-05-12,TEF,EUR,119.6,119.6
10,2015-05-12,TEF,EUR,-0.8,-0.8
11,2015-05-12,TEF,EUR,0.4,0.4
12,2015-05-12,TEF,EUR,-119.6,-119.6
13,2015-05-12,TEF,EUR,120.0,120.0
14,2015-05-12,TEF,EUR,-0.4,-0.4
15,2015-06-18,MAP,EUR,130.4,130.4
16,2015-06-18,IQQA,EUR,13.17,13.2
17,2015-07-01,REE,EUR,32.51,32.5
18,2015-07-02,ENG,EUR,156.0,156.0
19,2015-09-11,BME,EUR,31.6,31.6
20,2015-09-11,BME,EUR,12.4,12.4
21,2015-09-17,IQQA,EUR,7.31,7.3
22,2015-11-06,SAN,EUR,1.25,1.2
23,2015-12-09,TEF,EUR,11.04,11.0
24,2015-12-29,BME,EUR,51.6,51.6
25,2015-12-29,BME,EUR,14.4,14.4
26,2015-12-29,BME,EUR,-51.6,-51.6
27,2015-12-29,BME,EUR,66.0,66.0
28,2015-12-29,BME,EUR,-14.4,-14.4
29,2015-01-09,PM,USD,30.0,27.0
30,2015-01-14,VNR,USD,9.45,8.5
31,2015-01-15,O,USD,4.95,4.5
32,2015-02-02,T,USD,47.0,42.3
33,2015-02-05,POT,USD,11.2,10.1
34,2015-02-13,VNR,USD,9.45,8.5
35,2015-02-17,O,USD,5.1,4.6
36,2015-02-24,HCP,USD,21.47,19.3
37,2015-03-10,CVX,USD,27.82,25.1
38,2015-03-11,UL,USD,8.26,7.4
39,2015-03-16,MCD,USD,4.25,3.8
40,2015-03-16,O,USD,5.1,4.6
41,2015-03-17,VNR,USD,5.28,4.8
42,2015-04-01,KO,USD,4.29,3.9
43,2015-04-10,PM,USD,35.01,31.5
44,2015-04-14,VNR,USD,5.28,4.8
45,2015-04-15,O,USD,5.12,4.6
46,2015-05-01,T,USD,47.0,42.3
47,2015-05-04,POT,USD,12.16,11.0
48,2015-05-15,O,USD,5.12,4.6
49,2015-05-15,VNR,USD,5.28,4.8
50,2015-05-26,HCP,USD,21.47,19.3
51,2015-06-03,UL,USD,7.98,7.2
52,2015-06-10,CVX,USD,27.82,25.1
53,2015-06-12,VNR,USD,5.28,4.8
54,2015-06-15,MCD,USD,4.25,3.8
55,2015-06-15,MT,USD,40.0,36.0
56,2015-06-15,O,USD,5.12,4.6
57,2015-07-01,KO,USD,4.29,3.9
58,2015-07-10,PM,USD,35.01,31.5
59,2015-07-15,O,USD,5.13,4.6
60,2015-07-15,VNR,USD,5.28,4.8
61,2015-07-31,POT,USD,12.16,11.0
62,2015-08-03,T,USD,47.0,42.3
63,2015-08-14,VNR,USD,5.28,4.8
64,2015-08-17,O,USD,5.13,4.6
65,2015-08-25,HCP,USD,56.5,50.9
66,2015-09-09,UL,USD,8.21,7.4
67,2015-09-10,CVX,USD,27.82,25.1
68,2015-09-14,VNR,USD,5.28,4.8
69,2015-09-15,O,USD,5.13,4.6
70,2015-09-16,MCD,USD,4.25,3.8
71,2015-10-01,KO,USD,4.29,3.9
72,2015-10-14,PM,USD,35.7,32.2
73,2015-10-15,O,USD,5.14,4.6
74,2015-10-15,VNR,USD,5.28,4.8
75,2015-11-02,T,USD,47.0,42.3
76,2015-11-03,POT,USD,12.16,11.0
77,2015-11-13,KMI,USD,15.3,13.8
78,2015-11-13,VNR,USD,5.28,4.8
79,2015-11-16,O,USD,5.14,4.6
80,2015-11-24,HCP,USD,56.51,50.9
81,2015-12-09,UL,USD,8.59,7.7
82,2015-12-10,CVX,USD,41.73,37.6
83,2015-12-15,KO,USD,4.29,3.9
84,2015-12-15,MCD,USD,4.45,4.0
85,2015-12-15,O,USD,5.14,4.6
86,2015-12-15,VNR,USD,5.28,4.8
87,2015-12-15,MAP,EUR,133.8,133.8
88,2015-12-17,ENG,EUR,105.6,105.6
89,2015-12-30,IQQA,EUR,1.07,1.1
90,2016-01-04,REE,EUR,13.36,13.4
91,2016-02-01,SAN,EUR,50.45,50.4
92,2016-03-29,IQQA,EUR,2.42,2.4
93,2016-04-19,ABE,EUR,144.0,144.0
94,2016-05-03,SAN,EUR,79.2,79.2
95,2016-05-06,BME,EUR,176.7,176.7
96,2016-05-13,TEF,EUR,221.2,221.2
97,2016-05-13,TEF,EUR,-221.2,-221.2
98,2016-05-19,TEF,EUR,221.2,221.2
99,2016-06-24,MAP,EUR,210.0,210.0
100,2016-06-29,IDVY,EUR,20.89,20.9
101,2016-07-01,REE,EUR,69.58,69.6
102,2016-07-05,ENG,EUR,158.4,158.4
103,2016-08-01,SAN,EUR,87.12,87.1
104,2016-09-16,BME,EUR,94.0,94.0
105,2016-09-30,IDVY,EUR,4.27,4.3
106,2016-11-02,ABE,EUR,151.2,151.2
107,2016-12-22,ENG,EUR,139.0,139.0
108,2016-12-23,MAP,EUR,196.95,197.0
109,2016-06-29,ISFA,GBP,12.38,14.1
110,2016-09-30,ISF,GBP,0.08,0.1
111,2016-09-30,ISF,GBP,13.71,15.6
112,2016-01-08,PM,USD,35.71,32.2
113,2016-01-08,PM,USD,-35.71,-32.2
