"","Name","Symbol","Exchange","Type","Amount","Avg Price","CurrentPrice","Extended Hours","Extended Hours (%)","Prev.","MarketValue","Commission","Weight","Daily P/L","Daily P/L%","Net P/L%","Net P/L","Next Earnings Date","Last","Bid","Ask","Open","Prev.","High","Low","Chg.","Chg. %","Vol.","Next Earnings Date","Time","Market Cap","Revenue","Average Vol. (3m)","EPS","P/E Ratio","Beta","Dividend","Yield","5 Minutes","15 Minutes","30 Minutes","Hourly","5 Hours","Daily","Weekly","Monthly","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"","Store Capital Corp","STOR.K","NYSE","BUY","140.00000000","33.48","29.41","29.50","0.31%","29.43","$4,117.40","$1.00","2.14%","-€2.57","-0.07%","-12.18%","-€523.14","May 05, 2022","29.41","29.20","29.90","29.77","29.43","29.77","29.31","-0.02","-0.07%","1,653,546","May 05, 2022","11/03","8,070,000,000","782,660,000","2,217,825","0.99","29.7","1.26","1.54","5.24%","Neutral","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","-0.07%","-4.51%","-3.16%","-14.51%","-12.96%","-10.06%"
"","Henkel ST","HNKG.DE","DE","BUY","75.00000000","72.00","62.50","--","--","62.05","€4,687.50","€0.00","2.65%","€33.75","0.73%","-13.19%","-€712.50","May 05, 2022","62.50","62.50","-","62.20","62.05","63.75","61.45","+0.45","+0.73%","311,894","May 05, 2022","11/03","27,080,000,000","29,830,000,000","178,732","3.76","17.09","0.65","1.83","2.93%","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Neutral","Strong Sell","Strong Sell","Strong Sell","0.73%","1.05%","-13.19%","-9.02%","-20.48%","-24.97%"
"","Alibaba","9988.HK","HK","BUY","200.00000000","197.00","90.80","--","--","96.10","HK$18,160.00","HK$0.00","1.20%","-€124.02","-5.52%","-53.91%","-€2,485.08","May 06, 2022","90.80","90.75","90.80","90.55","96.10","92.15","88.05","-5.30","-5.52%","74,997,978","May 06, 2022","11/03","1.82T","1,025,880,000,000","38,463,862","3.69","24.61","-","-","-","Strong Sell","Neutral","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","-5.52%","-8.28%","-25.82%","-23.63%","-59.82%","-55.71%"
"","Allianz","ALVG","DE","BUY","30.00000000","200.00","203.75","--","--","198.10","€6,112.50","€0.00","3.46%","€169.50","2.85%","1.88%","€112.50","May 12, 2022","203.75","204.02","204.38","198.38","203.75","211.55","197.92","+5.65","+2.85%","2,766,564","May 12, 2022","11/03","83,170,000,000","162,240,000,000","1,356,147","20.9","10.64","1.15","10.8","5.3%","Strong Sell","Sell","Neutral","Strong Buy","Strong Buy","Neutral","Sell","Neutral","2.85%","8.06%","-11.24%","-1.88%","-4.75%","2.68%"
"","W P Carey Inc","WPC","NYSE","BUY","57.00000000","70.18","79.70","79.66","-0.05%","79.24","$4,542.90","$1.00","2.36%","€24.03","0.58%","13.54%","€496.41","May 06, 2022","79.70","77.78","80.18","79.85","79.24","80.73","79.47","+0.46","+0.58%","809,352","May 06, 2022","11/03","15,200,000,000","1,330,000,000","889,835","2.23","35.74","0.74","4.228","5.3%","Neutral","Strong Sell","Strong Sell","Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","0.58%","-1.43%","4.85%","-2.86%","15.07%","3.87%"
"","Ahold Delhaize","AD.AS","AS","BUY","200.00000000","23.75","27.41","--","--","27.58","€5,482.00","€4.00","3.10%","-€34.00","-0.62%","15.33%","€728.00","May 11, 2022","27.41","-","-","27.68","27.58","28.42","27.35","-0.17","-0.62%","4,449,305","May 11, 2022","11/03","27,550,000,000","75,600,000,000","3,228,876","2.17","12.61","0.39","0.95","3.47%","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Neutral","Neutral","Strong Sell","Strong Buy","-0.62%","-0.04%","-6.11%","-9.04%","19.38%","21.47%"
"","Danone","DANO.PA","PA","BUY","100.00000000","54.95","51.04","--","--","50.48","€5,104.00","€0.00","2.89%","€56.00","1.11%","-7.12%","-€391.00","Apr 20, 2022","51.04","-","-","50.55","50.48","52.92","50.22","+0.56","+1.11%","2,315,439","Apr 20, 2022","11/03","33,220,000,000","47,550,000,000","1,717,039","2.93","17.4","0.64","1.94","3.84%","Strong Sell","Strong Sell","Strong Sell","Neutral","Buy","Strong Sell","Strong Sell","Strong Sell","1.11%","3.82%","-7.85%","-6.50%","-12.18%","-24.89%"
"","Vanguard FTSE Emerging Markets UCITS USD Inc","VFEM.AS","AS","BUY","100.00000000","56.00","54.04","--","--","54.27","€5,404.00","€0.00","3.06%","-€23.00","-0.42%","-3.50%","-€196.00","--","54.04","-","-","54.49","54.27","55.01","54.04","-0.23","-0.42%","1,988","--","11/03","-","","7,430","-","-","-","1.5316","2.6%","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Sell","-0.42%","-3.77%","-9.27%","-8.00%","-10.05%","6.90%"
"","Unilever","ULVR.AS","AS","BUY","125.00000000","43.72","40.48","--","--","40.10","€5,060.00","€0.00","2.86%","€47.50","0.95%","-7.41%","-€405.00","Apr 28, 2022","40.48","-","-","40.40","40.10","40.73","39.36","+0.38","+0.94%","3,198,359","Apr 28, 2022","11/03","103,550,000,000","","3,171,288","2.25","17.25","0.42","1.7072","4.22%","Sell","Strong Buy","Strong Buy","Strong Buy","Sell","Strong Sell","Strong Sell","Strong Sell","0.94%","-2.16%","-13.24%","-13.97%","-11.90%","-17.05%"
"","Santander","SAN","MC","BUY","2608.00000000","4.3200","2.8640","--","--","2.8530","€7,469.31","€4.00","4.23%","€28.69","0.39%","-33.74%","-€3,801.25","Apr 26, 2022","2.8640","2.8635","2.8635","2.8710","2.8640","3.0090","2.8200","+0.0110","+0.39%","71,679,856","Apr 26, 2022","11/03","48,880,000,000","35,660,000,000","59,928,789","0.35","8.95","1.63","0.081","2.83%","Strong Sell","Strong Sell","Sell","Neutral","Buy","Strong Sell","Strong Sell","Strong Sell","0.39%","5.35%","-17.74%","-2.60%","-2.85%","-29.93%"
