Dividends;Header;Currency;Date;Description;Amount
Dividends;Data;EUR;30/12/2020;TEF(ES06784309D9) Expire Dividend Right (Ordinary Dividend);194
Dividends;Data;EUR;07/01/2021;REE(ES0173093024) Cash Dividend EUR 0.2727 per Share (Ordinary Dividend);204.53
Dividends;Data;EUR;09/02/2021;ACS(ES06670509I0) Expire Dividend Right (Return of Capital);136.96
Dividends;Data;EUR;09/02/2021;ACS(ES06670509I0) Expire Dividend Right (Return of Capital);-136.96
Dividends;Data;EUR;09/02/2021;ACS(ES06670509I0) Expire Dividend Right (Return of Capital);136.96
Dividends;Data;EUR;09/02/2021;IBE(ES06445809L2) Expire Dividend Right (Ordinary Dividend);168
Dividends;Data;EUR;17/03/2021;UNA(GB00B10RZP78) Cash Dividend EUR 0.4268 per Share (Ordinary Dividend);42.68
Dividends;Data;EUR;07/04/2021;DAI(DE0007100000) Cash Dividend EUR 1.35 per Share (Ordinary Dividend);135
Dividends;Data;EUR;29/04/2021;AD(NL0011794037) Cash Dividend EUR 0.40 per Share (Ordinary Dividend);80
Dividends;Data;EUR;30/04/2021;BAYN(DE000BAY0017) Cash Dividend EUR 2.00 per Share (Ordinary Dividend);300
Dividends;Data;EUR;30/04/2021;BAYN(DE000BAY0017) Cash Dividend EUR 2.00 per Share - Reversal (Ordinary Dividend);-300
Dividends;Data;EUR;30/04/2021;BAYN(DE000BAY0017) Cash Dividend EUR 2.00 per Share (Ordinary Dividend);299.99
Dividends;Data;EUR;04/05/2021;BAS(DE000BASF111) Cash Dividend EUR 3.30 per Share (Ordinary Dividend);330
Dividends;Data;EUR;04/05/2021;SAN(ES0113900J37) Cash Dividend EUR 0.0275 per Share (Return of Capital);68.75
Dividends;Data;EUR;10/05/2021;ALV(DE0008404005) Cash Dividend EUR 9.60 per Share (Ordinary Dividend);192
Dividends;Data;EUR;12/05/2021;BN(FR0000120644) Cash Dividend EUR 1.94 per Share (Ordinary Dividend);194
Dividends;Data;EUR;24/05/2021;MAP(ES0124244E34) Cash Dividend EUR 0.0757 per Share (Ordinary Dividend);302.8
Dividends;Data;EUR;10/06/2021;UNA(GB00B10RZP78) Cash Dividend EUR 0.4268 per Share (Ordinary Dividend);42.68
Dividends;Data;EUR;17/06/2021;TEF(ES06784309E7) Expire Dividend Right (Ordinary Dividend);198
Dividends;Data;EUR;17/06/2021;TEF(ES06784309E7) Expire Dividend Right (Ordinary Dividend);-198
Dividends;Data;EUR;17/06/2021;TEF(ES06784309E7) Expire Dividend Right (Ordinary Dividend);198
Dividends;Data;EUR;02/07/2021;REE(ES0173093024) Cash Dividend EUR 0.7273 per Share (Ordinary Dividend);545.47
Dividends;Data;EUR;08/07/2021;ACS(ES06670509J8) Expire Dividend Right (Ordinary Dividend);384.81
Dividends;Data;EUR;08/07/2021;ENG(ES0130960018) Cash Dividend EUR 1.008 per Share (Ordinary Dividend);428.4
Dividends;Data;EUR;29/07/2021;IBE(ES06445809M0) Expire Dividend Right (Ordinary Dividend);254
Dividends;Data;EUR;02/09/2021;AD(NL0011794037) Cash Dividend EUR 0.43 per Share (Ordinary Dividend);86
Dividends;Data;EUR;08/09/2021;UNA(GB00B10RZP78) Cash Dividend EUR 0.4268 per Share (Ordinary Dividend);42.68
Dividends;Data;EUR;02/11/2021;SAN(ES0113900J37) Cash Dividend EUR 0.0485 per Share (Ordinary Dividend);121.24
Dividends;Data;EUR;30/11/2021;MAP(ES0124244E34) Cash Dividend EUR 0.0606 per Share (Ordinary Dividend);242.39
Dividends;Data;EUR;01/12/2021;UNA(NL0015000N58) Expire Dividend Right (Ordinary Dividend);53.35
Dividends;Data;EUR;17/12/2021;TEF(ES06784309F4) Expire Dividend Right (Ordinary Dividend);148
Dividends;Data;EUR;17/12/2021;TEF(ES06784309F4) Expire Dividend Right - REVERSAL (Ordinary Dividend);-148
Dividends;Data;EUR;17/12/2021;TEF(ES06784309F4) Expire Dividend Right (Ordinary Dividend);142.67
Dividends;Data;EUR;17/12/2021;TEF(ES06784309F4) Payment in Lieu of Dividend (Ordinary Dividend);5.33
Dividends;Data;EUR;17/12/2021;TEF(ES06784309F4) Expire Dividend Right - REVERSAL (Ordinary Dividend);-142.67
Dividends;Data;EUR;17/12/2021;TEF(ES06784309F4) Expire Dividend Right (Ordinary Dividend);142.96
Dividends;Data;EUR;17/12/2021;TEF(ES06784309F4) Payment in Lieu of Dividend - Reversal (Ordinary Dividend);-5.33
Dividends;Data;EUR;17/12/2021;TEF(ES06784309F4) Payment in Lieu of Dividend (Ordinary Dividend);5.03
Dividends;Data;EUR;17/12/2021;TEF(ES06784309F4) Expire Dividend Right - REVERSAL (Ordinary Dividend);-142.96
Dividends;Data;EUR;17/12/2021;TEF(ES06784309F4) Expire Dividend Right (Ordinary Dividend);148
Dividends;Data;EUR;17/12/2021;TEF(ES06784309F4) Payment in Lieu of Dividend - Reversal (Ordinary Dividend);-5.03
Dividends;Data;EUR;21/12/2021;ENG(ES0130960018) Cash Dividend EUR 0.68 per Share (Ordinary Dividend);289
Dividends;Data;EUR;22/12/2021;TEF(ES06784309F4) Expire Dividend Right (Ordinary Dividend);148
Dividends;Data;EUR;22/12/2021;TEF(ES06784309F4) Expire Dividend Right - REVERSAL (Ordinary Dividend);-148
Dividends;Data;GBP;24/03/2021;ISF(IE0005042456) Cash Dividend GBP 0.0562 per Share (Mixed Income);88.52
Dividends;Data;GBP;10/06/2021;UNA(GB00B10RZP78) Cash Dividend GBP 0.371 per Share (Ordinary Dividend);37.1
Dividends;Data;GBP;10/06/2021;UNA(GB00B10RZP78) Cash Dividend EUR 0.4268 per Share - Reversal (Ordinary Dividend);-37.1
